CALENDAR_YEAR,LOCATION_ID,LOCATION,RACE,RACE ALONE OR IN COMBINATION,EXPERIENCING_HOMELESSNESS_CNT
2017,CA-505,Contra Costa County CoC,"American Indian, Alaska Native, or Indigenous",Race Combination,450
2017,CA-505,Contra Costa County CoC,Asian or Asian American,Race Alone,73
2017,CA-505,Contra Costa County CoC,Asian or Asian American,Race Combination,53
2017,CA-505,Contra Costa County CoC,"Black, African American, or African",Race Alone,1824
2017,CA-505,Contra Costa County CoC,"Black, African American, or African",Race Combination,236
2017,CA-505,Contra Costa County CoC,Hispanic/Latina/e/o,Race Alone,22
2017,CA-505,Contra Costa County CoC,Hispanic/Latina/e/o,Race Combination,878
2017,CA-505,Contra Costa County CoC,Native Hawaiian or Pacific Islander,Race Alone,99
2017,CA-505,Contra Costa County CoC,Native Hawaiian or Pacific Islander,Race Combination,71
2017,CA-505,Contra Costa County CoC,White,Race Alone,1644
2017,CA-505,Contra Costa County CoC,White,Race Combination,605
2017,CA-505,Contra Costa County CoC,Multiple Race,Race Alone,1093
2017,CA-505,Contra Costa County CoC,Multiple Race,Race Combination,1093
2017,CA-506,"Monterey, San Benito Counties CoC","American Indian, Alaska Native, or Indigenous",Race Alone,*
2017,CA-506,"Monterey, San Benito Counties CoC","American Indian, Alaska Native, or Indigenous",Race Combination,51
2017,CA-506,"Monterey, San Benito Counties CoC",Asian or Asian American,Race Alone,14
2017,CA-506,"Monterey, San Benito Counties CoC",Asian or Asian American,Race Combination,23
2017,CA-506,"Monterey, San Benito Counties CoC","Black, African American, or African",Race Alone,116
2017,CA-506,"Monterey, San Benito Counties CoC","Black, African American, or African",Race Combination,58
2017,CA-506,"Monterey, San Benito Counties CoC",Hispanic/Latina/e/o,Race Alone,*
2017,CA-506,"Monterey, San Benito Counties CoC",Hispanic/Latina/e/o,Race Combination,701
2017,CA-506,"Monterey, San Benito Counties CoC",Native Hawaiian or Pacific Islander,Race Alone,22
2017,CA-506,"Monterey, San Benito Counties CoC",Native Hawaiian or Pacific Islander,Race Combination,21
2017,CA-506,"Monterey, San Benito Counties CoC",White,Race Alone,288
2017,CA-506,"Monterey, San Benito Counties CoC",White,Race Combination,655
2017,CA-506,"Monterey, San Benito Counties CoC",Multiple Race,Race Alone,741
2017,CA-506,"Monterey, San Benito Counties CoC",Multiple Race,Race Combination,741
2017,CA-507,Marin County CoC,"American Indian, Alaska Native, or Indigenous",Race Alone,24
2017,CA-507,Marin County CoC,"American Indian, Alaska Native, or Indigenous",Race Combination,33
2017,CA-507,Marin County CoC,Asian or Asian American,Race Alone,33
2017,CA-507,Marin County CoC,Asian or Asian American,Race Combination,*
2017,CA-507,Marin County CoC,"Black, African American, or African",Race Alone,320
2017,CA-507,Marin County CoC,"Black, African American, or African",Race Combination,58
2017,CA-507,Marin County CoC,Hispanic/Latina/e/o,Race Alone,40
2017,CA-507,Marin County CoC,Hispanic/Latina/e/o,Race Combination,318
2017,CA-507,Marin County CoC,Native Hawaiian or Pacific Islander,Race Alone,11
2017,CA-507,Marin County CoC,Native Hawaiian or Pacific Islander,Race Combination,16
2017,CA-507,Marin County CoC,White,Race Alone,800
2017,CA-507,Marin County CoC,White,Race Combination,314
2017,CA-507,Marin County CoC,Multiple Race,Race Alone,362
2017,CA-507,Marin County CoC,Multiple Race,Race Combination,362
2017,CA-508,Santa Cruz County CoC,"American Indian, Alaska Native, or Indigenous",Race Alone,37
2017,CA-508,Santa Cruz County CoC,"American Indian, Alaska Native, or Indigenous",Race Combination,215
2017,CA-508,Santa Cruz County CoC,Asian or Asian American,Race Alone,15
2017,CA-508,Santa Cruz County CoC,Asian or Asian American,Race Combination,20
2017,CA-508,Santa Cruz County CoC,"Black, African American, or African",Race Alone,88
2017,CA-508,Santa Cruz County CoC,"Black, African American, or African",Race Combination,45
2017,CA-508,Santa Cruz County CoC,Hispanic/Latina/e/o,Race Alone,42
2017,CA-508,Santa Cruz County CoC,Hispanic/Latina/e/o,Race Combination,621
2017,CA-508,Santa Cruz County CoC,Native Hawaiian or Pacific Islander,Race Alone,*
2017,CA-508,Santa Cruz County CoC,Native Hawaiian or Pacific Islander,Race Combination,20
2017,CA-508,Santa Cruz County CoC,White,Race Alone,916
2017,CA-508,Santa Cruz County CoC,White,Race Combination,488
2017,CA-508,Santa Cruz County CoC,Multiple Race,Race Alone,690
2017,CA-508,Santa Cruz County CoC,Multiple Race,Race Combination,690
2017,CA-509,Mendocino County CoC,"American Indian, Alaska Native, or Indigenous",Race Alone,51
2017,CA-509,Mendocino County CoC,"American Indian, Alaska Native, or Indigenous",Race Combination,48
2017,CA-509,Mendocino County CoC,Asian or Asian American,Race Alone,*
2017,CA-509,Mendocino County CoC,Asian or Asian American,Race Combination,*
2017,CA-509,Mendocino County CoC,"Black, African American, or African",Race Alone,35
2017,CA-509,Mendocino County CoC,"Black, African American, or African",Race Combination,*
2017,CA-509,Mendocino County CoC,Hispanic/Latina/e/o,Race Alone,*
2017,CA-509,Mendocino County CoC,Hispanic/Latina/e/o,Race Combination,75
2017,CA-509,Mendocino County CoC,Native Hawaiian or Pacific Islander,Race Alone,*
2017,CA-509,Mendocino County CoC,Native Hawaiian or Pacific Islander,Race Combination,*
2017,CA-509,Mendocino County CoC,White,Race Alone,499
2017,CA-509,Mendocino County CoC,White,Race Combination,80
2017,CA-509,Mendocino County CoC,Multiple Race,Race Alone,103
2017,CA-509,Mendocino County CoC,Multiple Race,Race Combination,103
2017,CA-510,Stanislaus County CoC,"American Indian, Alaska Native, or Indigenous",Race Alone,56
2017,CA-510,Stanislaus County CoC,"American Indian, Alaska Native, or Indigenous",Race Combination,298
2017,CA-510,Stanislaus County CoC,Asian or Asian American,Race Alone,70
2017,CA-510,Stanislaus County CoC,Asian or Asian American,Race Combination,74
2017,CA-510,Stanislaus County CoC,"Black, African American, or African",Race Alone,648
2017,CA-510,Stanislaus County CoC,"Black, African American, or African",Race Combination,363
2017,CA-510,Stanislaus County CoC,Hispanic/Latina/e/o,Race Alone,36
2017,CA-510,Stanislaus County CoC,Hispanic/Latina/e/o,Race Combination,2776
2017,CA-510,Stanislaus County CoC,Native Hawaiian or Pacific Islander,Race Alone,68
2017,CA-510,Stanislaus County CoC,Native Hawaiian or Pacific Islander,Race Combination,96
2017,CA-510,Stanislaus County CoC,White,Race Alone,2260
2017,CA-510,Stanislaus County CoC,White,Race Combination,2730
2017,CA-510,Stanislaus County CoC,Multiple Race,Race Alone,3049
2017,CA-510,Stanislaus County CoC,Multiple Race,Race Combination,3049
2017,CA-511,San Joaquin County CoC,"American Indian, Alaska Native, or Indigenous",Race Alone,77
2017,CA-511,San Joaquin County CoC,"American Indian, Alaska Native, or Indigenous",Race Combination,274
2017,CA-511,San Joaquin County CoC,Asian or Asian American,Race Alone,179
2017,CA-511,San Joaquin County CoC,Asian or Asian American,Race Combination,119
2017,CA-511,San Joaquin County CoC,"Black, African American, or African",Race Alone,3140
2017,CA-511,San Joaquin County CoC,"Black, African American, or African",Race Combination,532
2017,CA-511,San Joaquin County CoC,Hispanic/Latina/e/o,Race Alone,180
2017,CA-511,San Joaquin County CoC,Hispanic/Latina/e/o,Race Combination,2969
2017,CA-511,San Joaquin County CoC,Native Hawaiian or Pacific Islander,Race Alone,83
2017,CA-511,San Joaquin County CoC,Native Hawaiian or Pacific Islander,Race Combination,89
2017,CA-511,San Joaquin County CoC,White,Race Alone,2384
2017,CA-511,San Joaquin County CoC,White,Race Combination,3008
2017,CA-511,San Joaquin County CoC,Multiple Race,Race Alone,3332
2017,CA-511,San Joaquin County CoC,Multiple Race,Race Combination,3332
2017,CA-512,San Mateo County CoC,"American Indian, Alaska Native, or Indigenous",Race Alone,29
2017,CA-512,San Mateo County CoC,"American Indian, Alaska Native, or Indigenous",Race Combination,316
2017,CA-512,San Mateo County CoC,Asian or Asian American,Race Alone,217
2017,CA-512,San Mateo County CoC,Asian or Asian American,Race Combination,52
2017,CA-512,San Mateo County CoC,"Black, African American, or African",Race Alone,733
2017,CA-512,San Mateo County CoC,"Black, African American, or African",Race Combination,126
2017,CA-512,San Mateo County CoC,Hispanic/Latina/e/o,Race Alone,41
2017,CA-512,San Mateo County CoC,Hispanic/Latina/e/o,Race Combination,1462
2017,CA-512,San Mateo County CoC,Native Hawaiian or Pacific Islander,Race Alone,360
2017,CA-512,San Mateo County CoC,Native Hawaiian or Pacific Islander,Race Combination,40
2017,CA-512,San Mateo County CoC,White,Race Alone,1178
2017,CA-512,San Mateo County CoC,White,Race Combination,1209
2017,CA-512,San Mateo County CoC,Multiple Race,Race Alone,1557
2017,CA-512,San Mateo County CoC,Multiple Race,Race Combination,1557
2017,CA-513,"Kings, Tulare Counties CoC","American Indian, Alaska Native, or Indigenous",Race Alone,44
2017,CA-513,"Kings, Tulare Counties CoC","American Indian, Alaska Native, or Indigenous",Race Combination,99
2017,CA-513,"Kings, Tulare Counties CoC",Asian or Asian American,Race Alone,13
2017,CA-513,"Kings, Tulare Counties CoC",Asian or Asian American,Race Combination,16
2017,CA-513,"Kings, Tulare Counties CoC","Black, African American, or African",Race Alone,336
2017,CA-513,"Kings, Tulare Counties CoC","Black, African American, or African",Race Combination,88
2017,CA-513,"Kings, Tulare Counties CoC",Hispanic/Latina/e/o,Race Alone,104
2017,CA-513,"Kings, Tulare Counties CoC",Hispanic/Latina/e/o,Race Combination,1333
2017,CA-513,"Kings, Tulare Counties CoC",Native Hawaiian or Pacific Islander,Race Alone,*
2017,CA-513,"Kings, Tulare Counties CoC",Native Hawaiian or Pacific Islander,Race Combination,20
2017,CA-513,"Kings, Tulare Counties CoC",White,Race Alone,1034
2017,CA-513,"Kings, Tulare Counties CoC",White,Race Combination,1283
2017,CA-513,"Kings, Tulare Counties CoC",Multiple Race,Race Alone,1400
2017,CA-513,"Kings, Tulare Counties CoC",Multiple Race,Race Combination,1400
2017,CA-514,"Fresno, Madera Counties CoC","American Indian, Alaska Native, or Indigenous",Race Alone,49
2017,CA-514,"Fresno, Madera Counties CoC","American Indian, Alaska Native, or Indigenous",Race Combination,64
2017,CA-514,"Fresno, Madera Counties CoC",Asian or Asian American,Race Alone,29
2017,CA-514,"Fresno, Madera Counties CoC",Asian or Asian American,Race Combination,*
2017,CA-514,"Fresno, Madera Counties CoC","Black, African American, or African",Race Alone,464
2017,CA-514,"Fresno, Madera Counties CoC","Black, African American, or African",Race Combination,55
2017,CA-514,"Fresno, Madera Counties CoC",Hispanic/Latina/e/o,Race Alone,*
2017,CA-514,"Fresno, Madera Counties CoC",Hispanic/Latina/e/o,Race Combination,967
2017,CA-514,"Fresno, Madera Counties CoC",Native Hawaiian or Pacific Islander,Race Alone,*
2017,CA-514,"Fresno, Madera Counties CoC",Native Hawaiian or Pacific Islander,Race Combination,11
2017,CA-514,"Fresno, Madera Counties CoC",White,Race Alone,620
2017,CA-514,"Fresno, Madera Counties CoC",White,Race Combination,921
2017,CA-514,"Fresno, Madera Counties CoC",Multiple Race,Race Alone,999
2017,CA-514,"Fresno, Madera Counties CoC",Multiple Race,Race Combination,999
2017,CA-515,Placer County CoC,"American Indian, Alaska Native, or Indigenous",Race Alone,18
2017,CA-515,Placer County CoC,"American Indian, Alaska Native, or Indigenous",Race Combination,113
2017,CA-515,Placer County CoC,Asian or Asian American,Race Alone,*
2017,CA-515,Placer County CoC,Asian or Asian American,Race Combination,17
2017,CA-515,Placer County CoC,"Black, African American, or African",Race Alone,85
2017,CA-515,Placer County CoC,"Black, African American, or African",Race Combination,63
2017,CA-515,Placer County CoC,Hispanic/Latina/e/o,Race Alone,*
2017,CA-515,Placer County CoC,Hispanic/Latina/e/o,Race Combination,188
2017,CA-515,Placer County CoC,Native Hawaiian or Pacific Islander,Race Alone,*
2017,CA-515,Placer County CoC,Native Hawaiian or Pacific Islander,Race Combination,26
2017,CA-515,Placer County CoC,White,Race Alone,828
2017,CA-515,Placer County CoC,White,Race Combination,233
2017,CA-515,Placer County CoC,Multiple Race,Race Alone,294
2017,CA-515,Placer County CoC,Multiple Race,Race Combination,294
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","American Indian, Alaska Native, or Indigenous",Race Alone,15
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","American Indian, Alaska Native, or Indigenous",Race Combination,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Asian or Asian American,Race Alone,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Asian or Asian American,Race Combination,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Black, African American, or African",Race Alone,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC","Black, African American, or African",Race Combination,14
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Hispanic/Latina/e/o,Race Alone,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Hispanic/Latina/e/o,Race Combination,24
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Native Hawaiian or Pacific Islander,Race Alone,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Native Hawaiian or Pacific Islander,Race Combination,*
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",White,Race Alone,143
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",White,Race Combination,41
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Multiple Race,Race Alone,44
2017,CA-516,"Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",Multiple Race,Race Combination,44
2017,CA-517,Napa County CoC,"American Indian, Alaska Native, or Indigenous",Race Alone,19
2017,CA-517,Napa County CoC,"American Indian, Alaska Native, or Indigenous",Race Combination,111
2017,CA-517,Napa County CoC,Asian or Asian American,Race Alone,*
2017,CA-517,Napa County CoC,Asian or Asian American,Race Combination,*
2017,CA-517,Napa County CoC,"Black, African American, or African",Race Alone,50
2017,CA-517,Napa County CoC,"Black, African American, or African",Race Combination,13
2017,CA-517,Napa County CoC,Hispanic/Latina/e/o,Race Alone,*
2017,CA-517,Napa County CoC,Hispanic/Latina/e/o,Race Combination,311
2017,CA-517,Napa County CoC,Native Hawaiian or Pacific Islander,Race Alone,11
2017,CA-517,Napa County CoC,Native Hawaiian or Pacific Islander,Race Combination,*
2017,CA-517,Napa County CoC,White,Race Alone,524
2017,CA-517,Napa County CoC,White,Race Combination,213
2017,CA-517,Napa County CoC,Multiple Race,Race Alone,326
2017,CA-517,Napa County CoC,Multiple Race,Race Combination,326
2017,CA-518,Solano County CoC,"American Indian, Alaska Native, or Indigenous",Race Alone,11
2017,CA-518,Solano County CoC,"American Indian, Alaska Native, or Indigenous",Race Combination,65
2017,CA-518,Solano County CoC,Asian or Asian American,Race Alone,15
2017,CA-518,Solano County CoC,Asian or Asian American,Race Combination,21
2017,CA-518,Solano County CoC,"Black, African American, or African",Race Alone,384
2017,CA-518,Solano County CoC,"Black, African American, or African",Race Combination,59
2017,CA-518,Solano County CoC,Hispanic/Latina/e/o,Race Alone,*
2017,CA-518,Solano County CoC,Hispanic/Latina/e/o,Race Combination,156
2017,CA-518,Solano County CoC,Native Hawaiian or Pacific Islander,Race Alone,21
2017,CA-518,Solano County CoC,Native Hawaiian or Pacific Islander,Race Combination,26
2017,CA-518,Solano County CoC,White,Race Alone,292
2017,CA-518,Solano County CoC,White,Race Combination,158
2017,CA-518,Solano County CoC,Multiple Race,Race Alone,236
2017,CA-518,Solano County CoC,Multiple Race,Race Combination,236
2017,CA-519,Butte County CoC,"American Indian, Alaska Native, or Indigenous",Race Alone,47
2017,CA-519,Butte County CoC,"American Indian, Alaska Native, or Indigenous",Race Combination,78
2017,CA-519,Butte County CoC,Asian or Asian American,Race Alone,*
2017,CA-519,Butte County CoC,Asian or Asian American,Race Combination,11
2017,CA-519,Butte County CoC,"Black, African American, or African",Race Alone,73
2017,CA-519,Butte County CoC,"Black, African American, or African",Race Combination,45
2017,CA-519,Butte County CoC,Hispanic/Latina/e/o,Race Alone,*
2017,CA-519,Butte County CoC,Hispanic/Latina/e/o,Race Combination,168
2017,CA-519,Butte County CoC,Native Hawaiian or Pacific Islander,Race Alone,*
2017,CA-519,Butte County CoC,Native Hawaiian or Pacific Islander,Race Combination,*
2017,CA-519,Butte County CoC,White,Race Alone,964
2017,CA-519,Butte County CoC,White,Race Combination,233
2017,CA-519,Butte County CoC,Multiple Race,Race Alone,262
2017,CA-519,Butte County CoC,Multiple Race,Race Combination,262
2017,CA-520,Merced County CoC,"American Indian, Alaska Native, or Indigenous",Race Alone,*
2017,CA-520,Merced County CoC,"American Indian, Alaska Native, or Indigenous",Race Combination,17
2017,CA-520,Merced County CoC,Asian or Asian American,Race Alone,*
2017,CA-520,Merced County CoC,Asian or Asian American,Race Combination,*
2017,CA-520,Merced County CoC,"Black, African American, or African",Race Alone,120
2017,CA-520,Merced County CoC,"Black, African American, or African",Race Combination,12
2017,CA-520,Merced County CoC,Hispanic/Latina/e/o,Race Alone,*
2017,CA-520,Merced County CoC,Hispanic/Latina/e/o,Race Combination,182
2017,CA-520,Merced County CoC,Native Hawaiian or Pacific Islander,Race Alone,*
2017,CA-520,Merced County CoC,Native Hawaiian or Pacific Islander,Race Combination,*
2017,CA-520,Merced County CoC,White,Race Alone,260
2017,CA-520,Merced County CoC,White,Race Combination,183
2017,CA-520,Merced County CoC,Multiple Race,Race Alone,199
2017,CA-520,Merced County CoC,Multiple Race,Race Combination,199
2017,CA-521,Yolo County CoC,"American Indian, Alaska Native, or Indigenous",Race Alone,12
2017,CA-521,Yolo County CoC,"American Indian, Alaska Native, or Indigenous",Race Combination,31
2017,CA-521,Yolo County CoC,Asian or Asian American,Race Alone,*
2017,CA-521,Yolo County CoC,Asian or Asian American,Race Combination,*
2017,CA-521,Yolo County CoC,"Black, African American, or African",Race Alone,119
2017,CA-521,Yolo County CoC,"Black, African American, or African",Race Combination,20
2017,CA-521,Yolo County CoC,Hispanic/Latina/e/o,Race Alone,*
2017,CA-521,Yolo County CoC,Hispanic/Latina/e/o,Race Combination,141
2017,CA-521,Yolo County CoC,Native Hawaiian or Pacific Islander,Race Alone,*
2017,CA-521,Yolo County CoC,Native Hawaiian or Pacific Islander,Race Combination,*
2017,CA-521,Yolo County CoC,White,Race Alone,232
2017,CA-521,Yolo County CoC,White,Race Combination,123
2017,CA-521,Yolo County CoC,Multiple Race,Race Alone,154
2017,CA-521,Yolo County CoC,Multiple Race,Race Combination,154
2017,CA-522,Humboldt County CoC,"American Indian, Alaska Native, or Indigenous",Race Alone,53
2017,CA-522,Humboldt County CoC,"American Indian, Alaska Native, or Indigenous",Race Combination,120
2017,CA-522,Humboldt County CoC,Asian or Asian American,Race Alone,*
2017,CA-522,Humboldt County CoC,Asian or Asian American,Race Combination,*
2017,CA-522,Humboldt County CoC,"Black, African American, or African",Race Alone,34
2017,CA-522,Humboldt County CoC,"Black, African American, or African",Race Combination,20
2017,CA-522,Humboldt County CoC,Hispanic/Latina/e/o,Race Alone,*
2017,CA-522,Humboldt County CoC,Hispanic/Latina/e/o,Race Combination,124
2017,CA-522,Humboldt County CoC,Native Hawaiian or Pacific Islander,Race Alone,*
2017,CA-522,Humboldt County CoC,Native Hawaiian or Pacific Islander,Race Combination,14
2017,CA-522,Humboldt County CoC,White,Race Alone,589
2017,CA-522,Humboldt County CoC,White,Race Combination,184
2017,CA-522,Humboldt County CoC,Multiple Race,Race Alone,221
2017,CA-522,Humboldt County CoC,Multiple Race,Race Combination,221
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC","American Indian, Alaska Native, or Indigenous",Race Alone,15
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC","American Indian, Alaska Native, or Indigenous",Race Combination,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Asian or Asian American,Race Alone,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Asian or Asian American,Race Combination,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC","Black, African American, or African",Race Alone,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC","Black, African American, or African",Race Combination,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Hispanic/Latina/e/o,Race Alone,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Hispanic/Latina/e/o,Race Combination,81
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Native Hawaiian or Pacific Islander,Race Alone,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Native Hawaiian or Pacific Islander,Race Combination,*
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",White,Race Alone,83
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",White,Race Combination,75
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Multiple Race,Race Alone,81
2017,CA-523,"Colusa, Glenn, Trinity Counties CoC",Multiple Race,Race Combination,81
2017,CA-525,El Dorado County CoC,"American Indian, Alaska Native, or Indigenous",Race Alone,*
2017,CA-525,El Dorado County CoC,"American Indian, Alaska Native, or Indigenous",Race Combination,*
