,AGE,GENDER,VETERAN,INCOME,NIGHTS,substanceabuse,completed,probation,assistancetype,required,AT_RISK_OF_HOMELESSNESS,INCOME_PER_NIGHT,AGE_GROUP
77,51,Male,No,35500,187,1,1,0,permassistance,0,0,189.84,41-55
78,27,Female,No,13500,319,0,0,0,tempassistance,1,0,42.32,26-40
79,53,Female,No,28500,89,0,0,0,noassistance,1,0,320.22,41-55
80,31,Female,No,4000,187,1,0,0,noassistance,1,0,21.39,26-40
81,48,Female,No,0,307,1,1,0,tempassistance,1,0,0.0,41-55
82,65,Female,No,0,132,0,1,0,noassistance,1,0,0.0,56-70
83,32,Male,No,0,360,1,1,0,noassistance,1,0,0.0,26-40
84,25,Female,Yes,0,123,0,1,0,tempassistance,1,0,0.0,18-25
85,31,Male,Yes,29500,48,0,0,1,noassistance,1,0,614.58,26-40
86,40,Female,No,43000,288,0,1,0,noassistance,1,0,149.31,26-40
87,57,Female,No,38500,179,1,1,1,tempassistance,1,0,215.08,56-70
88,38,Male,No,30500,180,0,1,0,noassistance,1,0,169.44,26-40
89,33,Male,No,0,99,0,0,0,tempassistance,1,0,0.0,26-40
90,62,Male,No,6000,330,1,0,0,permassistance,0,0,18.18,56-70
91,35,Other,Yes,7000,34,1,0,0,tempassistance,1,0,205.88,26-40
92,64,Female,No,3500,70,1,0,0,noassistance,1,0,50.0,56-70
93,41,Female,Yes,20000,171,0,0,0,noassistance,0,1,116.96,41-55
94,43,Male,No,21000,272,1,0,0,tempassistance,0,0,77.21,41-55
95,42,Other,No,10000,59,0,0,0,tempassistance,0,0,169.49,41-55
96,62,Male,No,10000,181,0,0,0,tempassistance,1,0,55.25,56-70
97,58,Male,No,39500,19,0,1,0,noassistance,1,0,2078.95,56-70
98,46,Male,No,37000,226,0,1,0,tempassistance,1,0,163.72,41-55
99,32,Female,No,7000,95,0,0,0,noassistance,1,0,73.68,26-40
100,62,Male,No,45000,297,1,1,0,noassistance,1,0,151.52,56-70
101,18,Male,No,47500,81,0,1,1,noassistance,0,0,586.42,18-25
102,42,Male,No,8000,175,0,1,1,tempassistance,1,1,45.71,41-55
103,24,Female,No,10000,222,0,1,0,tempassistance,1,1,45.05,18-25
104,26,Female,No,19500,103,0,0,0,permassistance,1,0,189.32,26-40
105,41,Female,No,46500,54,0,1,0,noassistance,1,0,861.11,41-55
106,18,Female,No,42500,183,1,0,0,noassistance,0,0,232.24,18-25
107,61,Male,No,0,351,1,0,1,noassistance,1,0,0.0,56-70
108,25,Female,No,12500,318,1,1,0,tempassistance,1,0,39.31,18-25
109,41,Female,No,22500,355,0,1,0,noassistance,1,0,63.38,41-55
110,28,Female,No,19000,349,0,0,0,tempassistance,0,0,54.44,26-40
111,68,Male,No,0,321,0,1,0,permassistance,0,0,0.0,56-70
112,34,Male,Yes,41500,68,1,0,0,noassistance,1,0,610.29,26-40
113,25,Female,No,30000,28,0,1,0,tempassistance,1,0,1071.43,18-25
114,52,Female,No,40000,274,0,0,0,noassistance,1,0,145.99,41-55
115,52,Female,No,41500,282,0,0,0,noassistance,0,0,147.16,41-55
116,50,Male,Yes,34500,360,0,1,0,noassistance,1,1,95.83,41-55
117,22,Female,No,15000,311,0,0,0,tempassistance,1,0,48.23,18-25
118,59,Male,No,26000,119,0,0,0,tempassistance,1,0,218.49,56-70
119,56,Female,No,0,134,1,0,0,tempassistance,0,0,0.0,56-70
120,58,Female,No,30000,129,1,0,0,tempassistance,0,1,232.56,56-70
121,45,Male,No,0,8,0,1,0,noassistance,1,0,0.0,41-55
122,24,Female,No,31000,51,0,0,0,noassistance,1,0,607.84,18-25
123,26,Male,No,2000,341,1,1,0,tempassistance,1,0,5.87,26-40
124,25,Female,No,0,281,0,0,0,noassistance,1,0,0.0,18-25
125,29,Male,No,0,175,0,0,0,noassistance,1,1,0.0,26-40
126,51,Male,No,0,183,1,0,0,tempassistance,0,0,0.0,41-55
127,50,Male,No,32500,192,0,1,0,tempassistance,0,0,169.27,41-55
128,65,Female,No,33500,249,0,0,0,tempassistance,0,0,134.54,56-70
129,40,Female,No,20000,235,0,0,0,noassistance,1,0,85.11,26-40
130,41,Female,No,0,83,0,0,0,noassistance,1,0,0.0,41-55
131,54,Male,No,0,93,0,1,1,noassistance,0,0,0.0,41-55
132,52,Male,No,0,312,0,0,0,tempassistance,1,0,0.0,41-55
133,61,Female,Yes,0,268,0,1,0,noassistance,1,0,0.0,56-70
134,57,Female,No,43500,120,0,0,0,tempassistance,1,0,362.5,56-70
135,39,Male,Yes,3000,71,0,0,0,noassistance,0,0,42.25,26-40
136,44,Female,No,10000,17,0,0,0,noassistance,0,0,588.24,41-55
137,52,Female,No,0,253,0,0,0,tempassistance,1,0,0.0,41-55
138,18,Female,No,1500,122,0,1,0,noassistance,1,0,12.3,18-25
139,52,Male,Yes,20000,10,0,1,0,noassistance,0,1,2000.0,41-55
140,54,Male,No,25500,287,0,0,0,noassistance,0,0,88.85,41-55
141,64,Other,No,3000,316,0,0,0,tempassistance,1,0,9.49,56-70
142,31,Female,No,0,326,0,0,0,permassistance,1,0,0.0,26-40
143,20,Male,No,12000,273,0,0,0,noassistance,1,0,43.96,18-25
144,18,Male,No,2500,306,0,0,0,noassistance,1,0,8.17,18-25
145,22,Female,No,1500,293,1,1,0,tempassistance,0,0,5.12,18-25
146,43,Male,No,47500,210,0,0,0,noassistance,1,1,226.19,41-55
147,31,Female,No,26500,218,0,1,0,tempassistance,1,0,121.56,26-40
148,56,Female,No,22500,241,0,0,0,noassistance,1,0,93.36,56-70
149,44,Female,No,13500,200,1,0,0,tempassistance,1,0,67.5,41-55
150,26,Female,No,14500,216,0,0,1,tempassistance,1,0,67.13,26-40
151,32,Male,No,21500,205,0,0,1,permassistance,0,1,104.88,26-40
152,32,Female,No,31500,216,0,0,0,permassistance,1,0,145.83,26-40
153,43,Female,No,31500,80,0,0,0,noassistance,1,0,393.75,41-55
154,59,Female,No,0,267,1,0,0,noassistance,1,0,0.0,56-70
155,30,Male,No,19000,35,1,1,0,tempassistance,0,0,542.86,26-40
156,68,Male,No,13500,289,0,0,0,tempassistance,0,0,46.71,56-70
157,49,Male,No,42000,18,0,1,0,noassistance,1,0,2333.33,41-55
158,56,Male,No,27000,165,1,0,0,tempassistance,1,0,163.64,56-70
159,66,Female,No,21000,13,0,1,0,noassistance,1,0,1615.38,56-70
160,69,Female,Yes,0,202,0,0,0,noassistance,1,1,0.0,56-70
161,49,Male,Yes,25500,229,1,0,0,noassistance,1,1,111.35,41-55
162,21,Female,No,0,346,0,1,0,noassistance,0,1,0.0,18-25
163,47,Female,No,9000,1,1,0,1,tempassistance,1,1,9000.0,41-55
164,54,Male,No,0,319,0,1,1,noassistance,0,0,0.0,41-55
165,40,Female,Yes,31000,217,0,1,0,noassistance,1,0,142.86,26-40
166,56,Female,No,500,34,0,0,0,permassistance,1,0,14.71,56-70
167,62,Female,No,12000,359,1,1,0,noassistance,1,0,33.43,56-70
168,32,Female,No,43500,266,0,1,1,noassistance,1,0,163.53,26-40
169,60,Male,No,500,128,0,1,0,permassistance,1,0,3.91,56-70
170,46,Male,No,19500,212,1,1,0,tempassistance,0,0,91.98,41-55
171,53,Male,No,14000,263,0,0,0,noassistance,1,0,53.23,41-55
172,30,Male,No,0,312,0,0,1,tempassistance,1,0,0.0,26-40
173,49,Female,No,37500,80,0,1,1,tempassistance,0,0,468.75,41-55
174,24,Female,No,0,165,0,0,0,tempassistance,0,0,0.0,18-25
175,68,Female,No,17500,252,0,0,1,tempassistance,1,0,69.44,56-70
176,39,Female,No,23000,12,0,0,0,tempassistance,0,0,1916.67,26-40
177,45,Other,No,27000,304,1,1,0,noassistance,1,0,88.82,41-55
178,19,Male,No,31000,212,0,0,0,tempassistance,1,0,146.23,18-25
179,59,Female,No,3500,282,1,1,0,noassistance,1,0,12.41,56-70
180,62,Female,No,0,112,0,0,0,tempassistance,0,1,0.0,56-70
181,23,Female,No,33000,211,1,0,1,permassistance,1,0,156.4,18-25
182,45,Female,No,21000,239,0,1,0,tempassistance,1,0,87.87,41-55
183,45,Female,No,40000,268,0,1,1,tempassistance,1,0,149.25,41-55
184,61,Male,No,39000,298,0,0,0,tempassistance,1,0,130.87,56-70
185,61,Male,No,40500,317,0,0,0,noassistance,1,0,127.76,56-70
186,37,Male,No,18000,58,0,0,0,noassistance,1,0,310.34,26-40
187,47,Female,No,8500,34,0,1,1,tempassistance,1,1,250.0,41-55
188,28,Female,No,37000,263,0,0,0,tempassistance,1,0,140.68,26-40
189,45,Male,No,16000,35,0,0,0,tempassistance,1,0,457.14,41-55
190,42,Male,No,0,271,0,1,0,noassistance,1,0,0.0,41-55
191,56,Male,No,41000,227,1,0,0,noassistance,1,0,180.62,56-70
192,50,Male,No,43000,25,1,0,0,tempassistance,1,0,1720.0,41-55
193,18,Male,No,17000,234,0,1,0,tempassistance,0,0,72.65,18-25
194,44,Male,Yes,0,59,0,1,0,noassistance,1,1,0.0,41-55
195,69,Female,No,12000,251,0,1,0,tempassistance,1,0,47.81,56-70
196,30,Male,No,38000,335,1,0,0,noassistance,0,0,113.43,26-40
197,58,Female,No,44000,86,1,1,0,tempassistance,1,0,511.63,56-70
198,20,Female,No,500,251,0,1,1,noassistance,1,0,1.99,18-25
199,56,Male,No,0,180,0,0,0,noassistance,0,0,0.0,56-70
200,23,Female,No,42500,207,0,1,0,noassistance,1,0,205.31,18-25
201,25,Female,No,12000,344,0,0,0,noassistance,1,0,34.88,18-25
202,44,Female,No,21500,149,0,1,1,permassistance,0,0,144.3,41-55
203,26,Female,No,48500,71,0,1,0,permassistance,1,0,683.1,26-40
204,54,Female,No,0,121,0,1,1,tempassistance,1,0,0.0,41-55
205,50,Female,No,28500,253,0,0,1,noassistance,1,0,112.65,41-55
206,68,Female,No,0,93,1,1,0,noassistance,1,0,0.0,56-70
207,59,Female,No,11000,256,0,0,0,permassistance,1,0,42.97,56-70
208,61,Other,No,38000,254,0,1,0,tempassistance,1,0,149.61,56-70
209,41,Female,No,15000,352,0,1,0,noassistance,0,0,42.61,41-55
210,32,Female,No,50000,288,0,0,0,noassistance,0,0,173.61,26-40
211,49,Male,No,22500,309,1,0,1,noassistance,1,0,72.82,41-55
212,49,Male,No,8000,59,0,1,0,tempassistance,0,1,135.59,41-55
213,41,Male,No,1500,69,0,0,0,tempassistance,1,0,21.74,41-55
214,58,Female,No,9500,86,0,1,0,tempassistance,1,0,110.47,56-70
215,69,Male,No,11000,274,0,0,0,noassistance,0,1,40.15,56-70
216,66,Male,Yes,0,227,1,1,0,noassistance,1,0,0.0,56-70
217,66,Male,No,11000,81,0,0,0,noassistance,1,0,135.8,56-70
218,69,Male,No,17000,114,0,1,0,noassistance,1,0,149.12,56-70
219,29,Male,No,33000,184,0,1,0,noassistance,1,0,179.35,26-40
220,56,Male,No,29000,280,0,1,0,noassistance,1,0,103.57,56-70
221,19,Male,No,32000,322,0,0,1,noassistance,1,0,99.38,18-25
222,20,Female,No,0,318,0,1,0,noassistance,0,0,0.0,18-25
223,66,Male,No,1500,54,0,0,0,permassistance,1,0,27.78,56-70
224,54,Male,No,29000,197,1,1,0,noassistance,1,0,147.21,41-55
225,66,Female,Yes,18000,293,0,1,0,tempassistance,1,1,61.43,56-70
226,34,Other,No,0,293,0,0,0,tempassistance,1,0,0.0,26-40
227,66,Female,No,38000,291,0,0,0,noassistance,0,0,130.58,56-70
228,19,Female,No,36000,180,0,0,0,noassistance,0,0,200.0,18-25
229,19,Male,No,22000,222,0,1,1,noassistance,0,0,99.1,18-25
230,45,Female,No,0,274,0,1,0,tempassistance,1,0,0.0,41-55
231,40,Female,No,35500,244,0,0,0,noassistance,0,0,145.49,26-40
232,54,Female,Yes,24000,154,1,0,0,noassistance,1,1,155.84,41-55
233,49,Female,No,36500,304,0,1,0,permassistance,1,0,120.07,41-55
234,50,Female,No,34500,273,1,0,0,noassistance,1,0,126.37,41-55
235,18,Female,No,38000,135,1,0,0,permassistance,0,0,281.48,18-25
236,36,Female,No,20000,313,1,0,0,permassistance,1,1,63.9,26-40
237,19,Other,No,0,8,0,0,0,noassistance,1,0,0.0,18-25
238,61,Other,No,29500,128,1,1,0,tempassistance,1,0,230.47,56-70
239,43,Female,No,26500,56,1,1,0,tempassistance,1,0,473.21,41-55
240,49,Male,No,34000,126,0,0,0,tempassistance,0,0,269.84,41-55
241,23,Female,No,0,159,0,1,0,tempassistance,1,0,0.0,18-25
242,49,Female,No,0,59,0,0,0,tempassistance,1,0,0.0,41-55
243,21,Female,Yes,43500,58,0,1,0,tempassistance,1,0,750.0,18-25
244,28,Male,No,34500,140,0,0,0,tempassistance,0,0,246.43,26-40
245,34,Male,No,44500,176,0,1,0,tempassistance,1,0,252.84,26-40
246,55,Female,No,35000,108,1,0,0,tempassistance,1,0,324.07,41-55
247,41,Female,No,25000,211,0,0,1,tempassistance,1,0,118.48,41-55
248,22,Female,No,28500,74,1,1,0,noassistance,1,0,385.14,18-25
249,69,Male,Yes,43500,167,0,0,0,noassistance,0,0,260.48,56-70
250,51,Male,No,24000,357,0,1,0,tempassistance,0,0,67.23,41-55
251,23,Female,Yes,27500,304,0,1,0,noassistance,1,1,90.46,18-25
252,39,Male,No,0,233,0,1,0,noassistance,1,0,0.0,26-40
253,28,Female,No,17500,327,1,0,0,noassistance,1,0,53.52,26-40
254,65,Male,No,32500,182,0,0,0,tempassistance,1,1,178.57,56-70
255,33,Male,No,4500,122,0,1,0,noassistance,1,0,36.89,26-40
256,50,Female,No,500,334,1,0,0,tempassistance,1,0,1.5,41-55
257,26,Male,No,7500,203,0,1,0,tempassistance,0,0,36.95,26-40
258,23,Male,No,3000,29,1,1,0,tempassistance,0,1,103.45,18-25
259,33,Female,Yes,1000,202,0,1,0,tempassistance,0,1,4.95,26-40
260,46,Female,No,14500,93,0,1,1,noassistance,1,0,155.91,41-55
261,20,Male,Yes,44500,329,0,0,0,noassistance,0,1,135.26,18-25
262,37,Female,No,19500,356,1,1,0,noassistance,1,0,54.78,26-40
263,53,Female,No,0,176,0,1,0,tempassistance,1,0,0.0,41-55
264,36,Female,No,0,330,1,0,0,tempassistance,0,0,0.0,26-40
265,43,Male,Yes,31500,211,1,0,0,tempassistance,0,1,149.29,41-55
266,20,Male,No,11500,184,0,1,0,tempassistance,0,0,62.5,18-25
267,36,Male,No,39000,95,0,1,0,noassistance,0,0,410.53,26-40
268,37,Male,No,29000,273,1,0,1,noassistance,0,0,106.23,26-40
269,49,Female,No,37500,137,0,1,0,noassistance,1,0,273.72,41-55
270,24,Male,No,4500,237,0,0,1,noassistance,0,0,18.99,18-25
271,69,Male,No,31000,353,0,1,0,permassistance,1,0,87.82,56-70
272,58,Female,Yes,4500,265,1,1,1,tempassistance,1,0,16.98,56-70
273,50,Female,No,46500,135,1,0,0,permassistance,0,0,344.44,41-55
274,57,Female,No,27500,144,0,0,1,permassistance,0,0,190.97,56-70
275,56,Male,No,8000,19,0,1,0,noassistance,1,0,421.05,56-70
276,35,Male,No,4500,231,1,1,1,permassistance,0,0,19.48,26-40
277,57,Male,No,0,134,0,0,0,tempassistance,1,1,0.0,56-70
278,18,Other,No,31000,114,1,1,0,noassistance,0,0,271.93,18-25
279,28,Female,No,1500,139,0,0,0,noassistance,1,0,10.79,26-40
280,45,Male,No,25000,125,1,0,0,permassistance,1,0,200.0,41-55
281,42,Male,No,4500,204,1,1,0,noassistance,0,1,22.06,41-55
282,67,Female,No,29000,61,0,0,1,tempassistance,0,0,475.41,56-70
283,40,Male,No,38500,250,0,1,0,noassistance,0,0,154.0,26-40
284,48,Female,No,36500,298,0,1,1,tempassistance,0,0,122.48,41-55
285,47,Male,Yes,35500,13,0,1,1,tempassistance,1,0,2730.77,41-55
286,59,Male,No,0,255,0,0,0,noassistance,1,0,0.0,56-70
287,52,Male,No,0,85,0,1,0,tempassistance,0,0,0.0,41-55
288,24,Male,No,31500,20,0,1,0,noassistance,0,0,1575.0,18-25
289,33,Female,No,11000,50,0,0,0,noassistance,1,0,220.0,26-40
290,43,Male,No,15000,164,1,0,0,tempassistance,1,0,91.46,41-55
291,65,Female,Yes,0,92,0,1,0,noassistance,1,0,0.0,56-70
292,69,Male,No,4000,88,0,0,0,noassistance,1,0,45.45,56-70
293,66,Male,No,0,69,0,1,0,tempassistance,0,1,0.0,56-70
294,19,Male,No,42500,37,1,1,0,noassistance,1,0,1148.65,18-25
295,18,Female,No,3000,253,0,0,0,noassistance,1,0,11.86,18-25
296,65,Male,No,22500,252,0,0,1,noassistance,0,1,89.29,56-70
297,29,Male,No,0,140,0,0,0,noassistance,1,0,0.0,26-40
298,22,Male,No,29500,355,1,0,0,noassistance,0,0,83.1,18-25
299,54,Female,No,8000,168,1,1,0,noassistance,1,0,47.62,41-55
300,49,Female,No,44000,54,0,0,0,noassistance,1,0,814.81,41-55
301,26,Female,No,43500,178,0,0,0,tempassistance,1,0,244.38,26-40
302,58,Male,No,8000,297,0,0,0,permassistance,1,0,26.94,56-70
303,52,Male,No,44000,301,1,1,0,tempassistance,1,0,146.18,41-55
304,36,Other,No,50000,359,0,0,1,noassistance,0,0,139.28,26-40
305,65,Female,No,39500,106,0,1,1,noassistance,1,0,372.64,56-70
306,33,Female,Yes,40500,137,0,1,0,permassistance,1,1,295.62,26-40
307,20,Male,No,3500,190,1,0,0,tempassistance,0,0,18.42,18-25
308,37,Male,No,24000,128,0,0,0,permassistance,1,0,187.5,26-40
309,41,Male,No,0,342,0,1,0,tempassistance,0,0,0.0,41-55
310,50,Male,Yes,0,47,0,1,0,noassistance,1,0,0.0,41-55
311,41,Female,No,50000,5,0,0,0,noassistance,1,0,10000.0,41-55
312,69,Male,No,8000,257,0,1,0,noassistance,1,0,31.13,56-70
313,28,Male,No,34500,300,0,0,1,tempassistance,1,0,115.0,26-40
314,66,Male,No,38000,150,0,0,0,noassistance,1,1,253.33,56-70
315,25,Female,No,41500,294,0,1,0,noassistance,1,0,141.16,18-25
316,53,Female,No,50000,243,0,0,0,noassistance,1,0,205.76,41-55
317,55,Female,No,3000,275,0,1,0,noassistance,0,0,10.91,41-55
318,57,Male,No,0,208,0,1,1,tempassistance,0,0,0.0,56-70
319,37,Female,No,13500,115,0,1,1,permassistance,1,0,117.39,26-40
320,52,Female,No,0,195,0,0,0,noassistance,1,0,0.0,41-55
321,65,Female,No,0,343,0,0,0,noassistance,1,0,0.0,56-70
322,42,Male,No,10500,170,0,0,0,noassistance,1,0,61.76,41-55
323,52,Female,No,36500,82,0,0,0,tempassistance,0,0,445.12,41-55
324,42,Male,No,23000,154,0,0,1,noassistance,1,0,149.35,41-55
325,46,Female,No,7500,141,1,1,0,tempassistance,1,0,53.19,41-55
326,35,Female,Yes,28500,314,0,0,0,noassistance,1,0,90.76,26-40
327,63,Male,No,2500,146,0,1,0,noassistance,1,0,17.12,56-70
328,35,Female,No,0,323,0,1,0,noassistance,0,0,0.0,26-40
329,19,Female,No,35500,122,0,1,0,noassistance,1,0,290.98,18-25
330,52,Female,Yes,26500,252,0,1,0,tempassistance,0,1,105.16,41-55
331,33,Male,No,35500,343,1,0,0,tempassistance,1,0,103.5,26-40
332,58,Male,No,0,311,0,0,0,tempassistance,1,0,0.0,56-70
333,53,Female,No,40000,89,0,1,0,tempassistance,1,0,449.44,41-55
334,50,Female,No,26500,58,1,1,1,noassistance,0,0,456.9,41-55
335,21,Male,No,23000,63,0,0,1,tempassistance,1,1,365.08,18-25
336,50,Male,No,27000,347,0,1,0,noassistance,1,0,77.81,41-55
337,31,Female,No,42000,308,0,1,1,permassistance,1,0,136.36,26-40
338,38,Male,No,24500,280,0,0,1,noassistance,1,0,87.5,26-40
339,65,Male,No,24000,72,0,0,0,noassistance,0,0,333.33,56-70
340,37,Male,No,49500,9,0,1,0,tempassistance,1,0,5500.0,26-40
341,25,Female,Yes,35000,94,0,0,0,tempassistance,1,1,372.34,18-25
342,24,Female,No,15500,339,1,0,0,tempassistance,1,0,45.72,18-25
343,20,Female,Yes,32000,336,1,0,0,noassistance,1,0,95.24,18-25
344,34,Male,No,12000,152,1,1,0,noassistance,0,0,78.95,26-40
345,50,Male,No,2000,356,1,1,1,tempassistance,1,0,5.62,41-55
346,65,Female,No,25000,40,0,0,0,noassistance,1,0,625.0,56-70
347,29,Male,No,46000,359,0,0,0,tempassistance,0,0,128.13,26-40
348,68,Male,Yes,46000,62,0,0,0,noassistance,1,1,741.94,56-70
349,39,Other,No,9000,254,1,0,0,permassistance,0,0,35.43,26-40
350,39,Male,No,20500,69,0,0,0,noassistance,0,0,297.1,26-40
351,63,Other,No,1000,245,0,0,0,noassistance,1,0,4.08,56-70
352,47,Female,No,50000,170,1,0,0,noassistance,1,0,294.12,41-55
353,55,Male,No,49000,178,1,1,1,permassistance,1,0,275.28,41-55
354,55,Male,No,28500,189,1,0,0,tempassistance,1,0,150.79,41-55
355,62,Female,No,38000,260,0,0,0,noassistance,1,1,146.15,56-70
356,68,Female,No,32500,72,0,0,0,permassistance,0,0,451.39,56-70
357,25,Male,No,25000,17,0,1,0,tempassistance,0,0,1470.59,18-25
358,44,Female,No,0,341,0,0,0,noassistance,1,0,0.0,41-55
359,44,Male,No,16000,57,0,1,0,tempassistance,0,0,280.7,41-55
360,51,Female,No,30000,218,0,1,1,tempassistance,1,0,137.61,41-55
361,38,Female,No,30000,107,0,1,0,noassistance,1,0,280.37,26-40
362,47,Female,Yes,11000,304,0,1,0,permassistance,1,0,36.18,41-55
363,50,Female,No,46500,173,1,0,0,tempassistance,1,0,268.79,41-55
364,45,Male,No,0,219,1,0,0,noassistance,0,0,0.0,41-55
365,64,Male,No,19000,247,0,1,1,noassistance,1,0,76.92,56-70
366,50,Female,No,31000,218,0,0,0,tempassistance,1,0,142.2,41-55
367,22,Female,Yes,31500,31,0,0,0,noassistance,1,0,1016.13,18-25
